Source,Company Name,"If in HubSpot, tagged as what sub industry?",Added to Hubspot? (Yes/No),Linkedin stated employee size,Linkedin actual employee size,Website Link
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,McCoubrey Investment Management Limited,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Kyle Insurance and Financial Services LLP,-,Yes,2-10,4,kyleinsurance.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Coulter Weir Wealth Management,-,Yes,2-10,4,coulterweir.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Mortgagewise & Smart Wealth Ltd,-,Yes,,,mortgagewisesmartwealth.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,MB Financial Consultancy,-,Yes,,,mbfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Catherine Adams Financial Planning Limited,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Ballymena Investment Centre Ltd,-,Yes,2-10,2,ballymenainvestmentcentre.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,SRG Financial Management Ltd,-,Yes,,4,srgfinancial.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Corin Berry Associates Limited,-,Yes,2-10,2,corinberryassociates.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,AD Mitchell Financial Planning Ltd,-,Yes,2-10,2,admitchellfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Quinn Financial Services Newtownabbey Ltd,-,Yes,2-10,,quinnfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Ivan McNeill,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Channel Wharf Wealth Management Limited,-,Yes,,,channelwharfwealth.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Andrew Clements Partnership Limited,-,Yes,,,andrewclements.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=1&pl_m=40,Carlile Financial Services Ltd,-,Yes,,2,carlilefs.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Mohammed Aslam Rasool,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Quantum3 Financial Services Limited,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Freedom Financial Planning Ltd,-,Yes,2-10,3,freedom-financial.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Andrew Benning,-,Yes,,,benningfm.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Theresa Dunlop Limited,-,Yes,11-50,18,propertypal.com/estate-agents/theresa-dunlop-properties-ltd
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Financial Professionals (NI) Ltd,-,Yes,,,fpni.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,TM Financial Planning Ltd,-,Yes,2-10,,tmfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,E M Gray & Co Ltd,-,Yes,11-50,7,emgray.uk.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Doherty Pension & Investment Consultancy Limited,-,No,,,dohertypic.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Willis & Company (Insurance Brokers) Limited,-,Yes,51-200,89,willisinsurance.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Watson Laird Limited,-,Yes,,,watsonlaird.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Law Society (NI) Financial Advice Limited,-,Yes,11-50,13,lsnifa.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Raven Wealth Planning Ltd,-,Yes,11-50,18,ravengroup.global
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Foursquare Financial Management Ltd,-,Yes,,,foursquarefm.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=2&pl_m=40,Compass Financial Associates Limited,-,Yes,2-10,3,compassfa.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,J & E Davy (UK) Limited,-,Yes,"501-1,000",974,davyuk.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Lanyon Financial Planning Limited,-,Yes,,,lanyonfp.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Knightsbridge Wealth Management (NI) Ltd,-,Yes,11-50,6,knightsbridgewm.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Legacy Wealth Management Limited,-,Yes,11-50,29,legacywm.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Active Money Solutions Limited,-,Yes,,,activemoneysolutions.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Verity Pensions Ltd,-,Yes,2-10,,verityfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Crawford Mulholland Wealth Limited,-,Yes,2-10,6,crawfordmulholland.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,NI Money,-,Yes,,,nimoney.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Work Life Wealth Limited,-,Yes,,,worklifewealth.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,J.P.G Financial (N.I.) Limited,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Kerr Henderson (Financial Services) Limited,-,No,51-200,31,kerrhenderson.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Brian Wilson,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Promethean Financial Consultants Limited,-,Yes,2-10,4,prometheanfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,Bartholomew & James (Financial Services) Limited,-,Yes,2-10,3,bartjames.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=3&pl_m=40,D S McDermott Financial Planning Ltd,-,Yes,,,dsmcdermottfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Johnston Campbell Ltd,I - IFA,No,201-500,471,amberriver.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Anthony Newman,-,Yes,,1,newmanrea.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Neill Gregson,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/neillgregson/partner/neillgregson
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Karen Donnelly,-,Yes,,,karendonnelly.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Mint Wealth Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Ronald James Savage,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Dowling Financial Planning (DFP) Limited,I - IFA,No,"501-1,000",753,openwork.uk.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,NI Property Finance Ltd,-,Yes,,,nipropertyfinance.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Financial Prospects (N.I.) Ltd,-,Yes,,,financialprospectsni.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Triangle 3,-,Yes,11-50,1,triangle3.net
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,McAlpine Brown Smyth Ltd,-,Yes,2-10,5,mbsifp.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Newbridge Financial Planning Limited,-,Yes,2-10,3,newbridgefinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Medical & General Financial Solutions Limited,-,Yes,2-10,,medicalandgeneral.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,Miskimmin Wealth Limited,-,Yes,11-50,,miskimmintaylor.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=4&pl_m=40,PFPNI LTD,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,ARDU Ltd,-,Yes,,,pwmni.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Johnston Kennedy,-,Yes,11-50,16,johnston-kennedy.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,From Acorns Financial Planning Ltd,-,Yes,2-10,1,fromacornsfp.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Dean Financial Solutions,-,Yes,"1,001-5,000","3,514",deanfinancialsolutions.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Spectrum Advice Network Ltd,-,Yes,11-50,,spectruman.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Business Protection Solutions (UK) Limited,-,Yes,,,bpsuk.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,RM Financial Planning Ltd,-,Yes,,,rmcfp.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,ARDENT WEALTH LIMITED,I - IFA,No,"5,001-10,000",2710,mandgwealth.com/ardentwealth
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,JRG Financial Planning Limited,-,Yes,,,jrgfinancialplanning.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Samantha-J Snowball,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,M & D Financial Management Limited,-,Yes,,,manddfinancial.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Bloomfield Corporate Consultancy Limited,-,Yes,2-10,1,bloomfieldcorporate.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Torch Financial Planning Limited,-,Yes,2-10,1,torchfp.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Kenneth Brown Financial Services Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=5&pl_m=40,Buchanan Johnston Flynn Limited,-,Yes,,,moneyhelp.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Navigate IFA Ltd,-,No,11-50,5,navigateifa.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Expert Pensions Advice LLP,-,Yes,,,expertpensionsadvice.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Professional Financial LLP,-,Yes,,,professionalfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Andrews Insurances Life & Pensions,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,AKFP Ltd,-,Yes,11-50,9,akfp.net
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Welby Associates Wealth Management Ltd,-,Yes,2-10,9,welbyassociates.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Hillsborough Financial Management Ltd,-,Yes,,,barbaracopeland.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Stephen Eaton & Company,-,Yes,,,stepheneaton.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Leeburn Wealth Management LLP,-,Yes,2-10,,leeburnfinancial.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Gribben & Watt Financial Planning Limited,-,Yes,,,gribbenandwatt.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Leeburn Imperial Wealth Management  LLP,I - IFA,No,1-10,,leeburnfinancial.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,T Nixon Associates Ltd,-,Yes,2-10,2,tn-associates.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,S Rankin & Co (Life & Pensions) Limited,-,Yes,11-50,,srankin.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Arthur Dodds & Co Ltd,-,Yes,2-10,5,arthurdodds.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=6&pl_m=40,Kenneth Brewster,-,Yes,,,brewstersfs.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Platinum Financial Planning Limited,-,Yes,11-50,18,platinumgroup.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Mark Robert Surgeon,I - IFA,No,11-50,9,akfp.net
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Philip Carvill & Company Limited,-,Yes,,,pcarvill.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Finlay Wealth Management LLP,-,Yes,2-10,3,finlaywealth.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,John Trainor,-,Yes,,,johntrainorfp.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Brian Duncan,-,Yes,,2,holywoodmortgagecentre.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Glenwin Hardy Limited,-,Yes,,,hardysfinancial.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Priory Financial Planning Ltd,-,Yes,2-10,10,prioryfinancial.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,S Hill & Co Investment Advisers Limited,-,Yes,11-50,2,investmentdecisions.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Carleton Financial Planning Limited,-,Yes,,,carletonfp.co.uk
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,SPM Dawson Whyte (Life & Pensions) Limited,-,Yes,,,ifa-ni.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,IQ&Co Limited,-,Yes,,,weareiq.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Philip Baker,I - IFA,No,"1,001-5,000",3514,partnership.sjp.co.uk/partner/philipbaker
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,McDowell Financial Services Ltd,-,Yes,,,mcdowellfs.com
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=7&pl_m=40,Richard Hamilton,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=8&pl_m=40,Nolan Andrews Wealth Management Ltd,,,,,
https://financialadvisers.co.uk/financial-planning/antrim/?pl_p=8&pl_m=40,Hutchison & White Limited,-,Yes,,,hutchisonwhite.co.uk
